0,4,130
3,4,132
3,4,135
2,4,147
4,4,138
4,4,136
1,4,125
4,4,144
1,4,140
3,4,130
4,4,132
1,4,123
3,4,146
4,4,138
3,4,149
1,4,144
2,4,132
4,4,135
4,4,133
3,4,142
2,4,134
4,4,137
1,4,125
3,4,120
4,4,128
3,4,140
4,4,129
2,4,142
2,4,127
3,4,145
3,4,133
1,4,121
2,4,139
4,4,131
3,4,121
2,4,123
1,4,136
1,4,127
3,4,141
3,4,135
3,4,145
4,4,135
2,4,145
4,4,121
1,4,126
1,4,140
2,4,149
2,4,148
4,4,126
2,4,125
3,4,144
3,4,128
3,4,144
1,4,143
2,4,127
3,4,129
3,4,126
2,4,122
1,4,148
1,4,134
3,4,139
1,4,140
2,4,127
1,4,127
1,4,146
1,4,138
3,4,138
1,4,127
2,4,143
4,4,120
4,4,141
4,4,132
3,4,131
2,4,142
3,4,121
4,4,125
4,4,141
1,4,149
1,4,145
3,4,132
2,4,127
3,4,146
2,4,145
4,4,150
4,4,120
3,4,127
3,4,141
4,4,149
4,4,144
3,4,131
1,4,125
2,4,137
3,4,144
2,4,120
3,4,150
4,4,127
3,4,135
1,4,145
2,4,150
3,4,137
1,4,130
2,4,145
2,4,121
1,4,132
2,4,136
3,4,144
4,4,130
4,4,138
2,4,143
4,4,122
3,4,123
4,4,126
2,4,148
2,4,146
1,4,120
1,4,145
4,4,145
4,4,132
2,4,143
1,4,133
1,4,131
2,4,142
4,4,121
4,4,134
3,4,125
2,4,129
