0,4,105
1,2,105
1,2,136
1,4,50
1,3,147
1,4,109
1,4,55
1,3,81
1,2,78
1,4,86
1,4,57
1,2,141
1,4,144
1,2,110
1,2,122
1,3,101
1,4,116
1,3,133
1,3,102
1,2,98
1,3,73
1,3,69
1,4,85
1,2,79
1,2,81
1,4,134
1,2,135
1,4,99
1,2,61
1,4,136
1,2,84
1,4,123
1,3,106
1,3,129
1,2,60
1,3,52
1,4,111
1,4,110
1,4,53
1,3,90
1,4,92
1,2,118
1,2,108
1,3,74
1,2,71
1,4,66
1,4,72
1,2,132
1,4,111
1,4,99
1,2,124
1,2,138
1,3,71
1,2,75
1,4,75
1,3,84
1,2,61
1,4,147
1,2,135
1,3,144
1,2,71
1,4,84
1,3,94
1,2,102
1,3,147
1,4,83
1,3,123
1,4,145
1,4,58
1,4,134
1,3,144
1,2,115
1,4,66
1,4,53
1,2,88
1,2,83
1,4,76
1,2,112
1,3,131
1,3,126
1,3,119
1,2,136
1,3,93
1,3,59
1,4,90
1,4,111
1,2,87
1,3,84
1,3,73
1,3,87
1,2,101
1,3,72
1,4,53
1,2,123
1,2,54
1,2,117
1,2,66
1,3,74
1,2,112
1,2,115
1,3,107
